Cap,Nº carateres, totpos, quanpos, totneg, quanneg,palavras,rationeg
0,104,0,0,0,0,13,1.515759312320917
1,3905,18,18,43.5,45,700,1.515759312320917
2,3603,20.5,21,15.5,17,659,1.515759312320917
3,5084,35.5,39,25.0,27,888,1.515759312320917
4,3457,30.0,32,15,15,618,1.515759312320917
5,8829,50.0,52,31.0,33,1562,1.515759312320917
6,4401,28.0,32,10.0,11,767,1.515759312320917
7,9644,67.0,71,30.0,33,1696,1.515759312320917
8,4248,13.5,15,26.0,27,740,1.515759312320917
9,5432,23.5,25,27.5,30,948,1.515759312320917
10,8125,46.0,47,38.0,42,1454,1.515759312320917
11,7658,62.5,65,35.0,37,1345,1.515759312320917
12,6152,50.5,56,19.5,21,1051,1.515759312320917
13,7013,43.0,44,28.0,30,1226,1.515759312320917
14,5434,41.0,44,5,5,949,1.515759312320917
