Cap,Nº carateres, totpos, quanpos, totneg, quanneg,palavras,rationeg
0,103,0,0,0,0,13,0.7520844913841023
1,15254,71.0,78,63.0,68,2617,0.7520844913841023
2,9894,61.0,66,53.0,56,1781,0.7520844913841023
3,9216,38.0,41,54.0,59,1539,0.7520844913841023
4,9080,49.5,54,59.5,64,1667,0.7520844913841023
5,22718,107.5,116,117.0,130,4032,0.7520844913841023
6,14610,107.5,112,97.5,105,2502,0.7520844913841023
7,14754,69.0,72,88.5,93,2542,0.7520844913841023
8,16793,71.5,75,129.0,137,2849,0.7520844913841023
9,24036,119.5,127,169.5,184,4166,0.7520844913841023
10,14420,64.0,72,84.5,94,2551,0.7520844913841023
11,11383,62.5,67,82.5,87,1814,0.7520844913841023
12,17815,82.0,88,113.5,121,3081,0.7520844913841023
13,15914,70.5,76,92.0,99,2720,0.7520844913841023
14,11176,38.0,41,77.0,83,1908,0.7520844913841023
15,18647,73.5,77,96.0,102,3395,0.7520844913841023
16,18862,76.5,83,127.5,137,3292,0.7520844913841023
17,12927,83.0,91,143.5,155,2273,0.7520844913841023
18,9154,43.5,46,58.0,61,1576,0.7520844913841023
19,13408,59.5,61,87.5,91,2279,0.7520844913841023
20,1250,5.5,7,6,6,219,0.7520844913841023
